ACC,YI,XI,DS_YI,DS_XI,SLOPE
0,118,66,117,66,14.10
0,118,67,117,67,13.51
0,118,68,117,68,12.27
0,119,58,118,58,13.79
0,119,59,118,59,16.25
0,119,60,118,60,15.88
0,119,61,118,61,13.70
1,49,83,50,84,6.19
1,50,78,50,79,18.06
1,51,76,52,77,13.80
1,51,78,51,79,25.46
1,51,84,52,84,9.46
1,51,86,52,86,9.37
1,51,88,51,89,5.92
1,52,87,53,87,13.09
1,53,71,53,72,17.76
1,53,74,53,75,25.70
1,53,77,54,78,23.12
1,53,80,53,81,20.38
1,53,88,54,88,15.83
1,53,89,54,89,13.43
1,54,72,54,73,30.91
1,54,94,54,95,8.99
1,55,70,55,71,30.72
1,55,78,54,79,29.30
1,55,80,55,81,27.84
1,55,86,56,87,10.60
1,55,90,56,89,17.06
1,55,93,55,94,15.32
1,55,97,55,98,12.53
1,56,73,55,74,33.23
1,56,74,55,75,30.30
1,56,75,55,76,29.42
1,56,76,55,77,27.65
1,56,78,55,79,24.66
1,56,82,56,83,21.68
1,56,96,57,97,13.15
1,57,67,57,68,30.19
1,57,69,56,70,35.36
1,57,70,56,71,35.83
1,57,71,56,72,36.51
1,57,79,57,80,27.39
1,57,87,58,88,10.78
1,57,95,58,96,13.97
1,57,101,58,102,6.39
1,58,62,58,63,24.60
1,58,65,59,66,34.96
1,58,66,59,67,32.28
1,58,72,59,73,35.55
1,58,76,59,77,28.03
1,58,77,59,78,22.80
1,58,81,58,82,26.67
1,58,85,59,86,17.17
1,58,86,59,87,13.53
1,58,91,58,90,12.95
1,58,103,59,104,4.76
1,59,57,60,57,26.85
1,59,59,59,60,35.77
1,59,65,60,66,36.66
1,59,68,60,69,35.88
1,59,72,60,73,39.23
1,59,74,60,75,34.12
1,59,75,60,76,32.91
1,59,79,60,80,27.45
1,59,80,60,81,30.52
1,59,91,60,90,14.33
1,59,101,60,102,7.41
1,60,56,61,57,24.44
1,60,58,61,58,34.11
1,60,60,60,61,36.57
1,60,70,61,71,36.38
1,60,71,61,72,38.10
1,60,77,61,78,26.78
1,60,82,61,83,25.38
1,60,83,60,84,25.03
1,60,91,61,90,18.24
1,60,94,61,95,23.35
1,60,95,61,96,18.94
1,61,61,61,62,33.93
