datetime,fr_pr,uc_pr,hm_pr,fruchm_avg_pr
03/09/2006,0.1,0.1,0.1,0.1
04/09/2006,0.1,0.1,0.7,0.3
05/09/2006,0.1,0.1,0.5,0.2
06/09/2006,0.1,0.1,0.4,0.2
07/09/2006,0,0,0.2,0.1
08/09/2006,0.2,0.1,0.1,0.1
09/09/2006,0.1,0.1,0.1,0.1
10/09/2006,0.1,0.1,0,0.1
11/09/2006,0,0,0.1,0
12/09/2006,0,0,0.4,0.1
13/09/2006,26.6,18.7,17.9,21.1
14/09/2006,81.8,57.7,49.5,63
15/09/2006,16.1,11.4,21.3,16.3
16/09/2006,3.3,2.3,3.1,2.9
17/09/2006,0,0,0.4,0.1
18/09/2006,0.5,0.3,0.4,0.4
19/09/2006,0,0,0,0
20/09/2006,0.7,0.5,0.3,0.5
21/09/2006,2.4,1.7,2.4,2.2
22/09/2006,1.5,1.1,0.8,1.1
23/09/2006,0.2,0.2,0,0.1
24/09/2006,0,0,0,0
25/09/2006,0,0,0,0
26/09/2006,6.7,4.7,2,4.5
27/09/2006,0.1,0.1,0,0.1
28/09/2006,0,0,0,0
29/09/2006,0,0,0,0
30/09/2006,0.1,0.1,0,0.1
01/10/2006,0.1,0.1,0.2,0.1
02/10/2006,0.3,0.2,0.1,0.2
03/10/2006,0,0,0,0
04/10/2006,0,0,0,0
05/10/2006,0,0,0.1,0
06/10/2006,1,0.7,0.4,0.7
07/10/2006,9.4,6.6,2.2,6.1
08/10/2006,0,0,0,0
09/10/2006,0,0,0,0
10/10/2006,0,0,0,0
11/10/2006,0,0,0,0
12/10/2006,0,0,0,0
13/10/2006,0,0,0,0
14/10/2006,0,0,0,0
15/10/2006,0,0,1,0.3
16/10/2006,4.8,3.3,7.1,5.1
17/10/2006,0.9,0.6,1.1,0.9
18/10/2006,0,0,0,0
19/10/2006,0.5,0.3,0.7,0.5
20/10/2006,3,2.1,4.1,3.1
21/10/2006,0,0,0.1,0
22/10/2006,0,0,0.1,0
23/10/2006,0,0,0.1,0
24/10/2006,1.7,0.9,1.1,1.2
25/10/2006,0,0,0,0
26/10/2006,0.6,0.3,0,0.3
27/10/2006,0.4,0.3,1.7,0.8
28/10/2006,0,0,0,0
29/10/2006,23.5,16.4,20.5,20.1
30/10/2006,0,0,0.3,0.1
31/10/2006,0,0,0.1,0
01/11/2006,0,0,0.9,0.3
02/11/2006,0,0,0,0
03/11/2006,0.3,0.2,0.3,0.3
04/11/2006,0,0,0.1,0
05/11/2006,2.6,1.5,0.9,1.7
06/11/2006,13.8,8.6,3.6,8.7
07/11/2006,30.8,19,12.3,20.7
08/11/2006,4.8,3,1,2.9
09/11/2006,4.1,2.7,0.6,2.5
10/11/2006,0.1,0.1,0,0.1
11/11/2006,0.5,0.2,0,0.2
12/11/2006,1.9,1.2,1,1.4
13/11/2006,4.3,2.5,0.4,2.4
14/11/2006,0,0,0,0
15/11/2006,1.4,0.6,1.1,1
16/11/2006,5.3,2.2,1.6,3
17/11/2006,0,0,0.2,0.1
18/11/2006,0.2,0.1,0,0.1
19/11/2006,0.5,0.3,0.2,0.3
20/11/2006,15.6,9.7,6.2,10.5
21/11/2006,7.7,4.6,3.4,5.2
22/11/2006,3.9,2.2,0.5,2.2
23/11/2006,8.4,4.6,3.7,5.6
24/11/2006,4.8,2.9,1.8,3.2
25/11/2006,3.3,2.2,1.5,2.3
26/11/2006,5.5,3.6,2.4,3.8
27/11/2006,2.3,1.5,0.6,1.5
28/11/2006,0.1,0.1,0,0.1
29/11/2006,0,0,0,0
30/11/2006,0.9,0.3,0,0.4
01/12/2006,0.2,0.1,0,0.1
02/12/2006,0.2,0.1,0,0.1
03/12/2006,0,0,0,0
04/12/2006,0,0,0,0
05/12/2006,0,0,0,0
06/12/2006,0.3,0.2,0,0.2
07/12/2006,0,0,0.5,0.2
08/12/2006,0,0,1,0.3
09/12/2006,0.1,0.1,0.4,0.2
10/12/2006,0,0,0,0
11/12/2006,0,0,0,0
12/12/2006,7.5,4.4,2.9,4.9
13/12/2006,1.8,0.7,0.2,0.9
14/12/2006,2.9,1.3,0.6,1.6
15/12/2006,7.2,3.6,2.5,4.4
16/12/2006,0,0,0,0
17/12/2006,0,0,0,0
18/12/2006,0,0,0,0
19/12/2006,0.1,0.1,0,0.1
20/12/2006,0,0,0,0
21/12/2006,1.4,0.6,0,0.7
22/12/2006,0.2,0.1,0,0.1
23/12/2006,0,0,0,0
24/12/2006,0,0,0,0
25/12/2006,3.6,2.3,0,2
26/12/2006,1.3,0.9,0,0.7
27/12/2006,16.9,11,8.3,12.1
28/12/2006,1.2,0.8,0.6,0.9
29/12/2006,0,0,0,0
30/12/2006,0.4,0.1,0,0.2
31/12/2006,0,0,0.4,0.1
01/01/2007,0,0,0,0
02/01/2007,9.5,4.5,2.9,5.6
03/01/2007,2.5,1.4,0.8,1.6
04/01/2007,0,0,0.6,0.2
05/01/2007,1,0.4,0,0.5
06/01/2007,1.3,0.7,0.1,0.7
07/01/2007,2.2,1,0,1.1
08/01/2007,1.3,0.6,0.2,0.7
09/01/2007,12.3,6.4,4.9,7.9
10/01/2007,13,7.5,6.9,9.1
11/01/2007,0.4,0.3,0.5,0.4
12/01/2007,0,0,0.1,0
13/01/2007,3.3,2.1,2,2.5
14/01/2007,0,0,0.4,0.1
15/01/2007,0,0,0,0
16/01/2007,0.2,0.1,0.2,0.2
17/01/2007,0.3,0.2,0.2,0.2
